playerID,yearID,salary,stint,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,W,L,GS,CG,SHO,SV,IPouts,ER,HR_right,BAOpp,ERA,WP,BK,BFP,GF,Training_Validation
lucrojo01,2016,4100000.0,3,142,0,490,67,143,24,3,24,81,5,0,47,100,5,3,0,4,16,,,,,,,,,,,,,,,,Validation
lucrojo01,2016,4100000.0,3,142,0,490,67,143,24,3,24,81,5,0,47,100,5,3,0,4,16,,,,,,,,,,,,,,,,Validation
lucrojo01,2016,4100000.0,3,142,0,490,67,143,24,3,24,81,5,0,47,100,5,3,0,4,16,,,,,,,,,,,,,,,,Validation
lestejo01,2012,7625000.0,1,33,0,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,9,14,33,3,0,0,616,110,25,0.273,4.82,6,0,876,0,Training
hammeja01,2012,4750000.0,1,20,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,6,20,1,1,0,354,45,9,0.234,3.43,3,0,493,0,Training
storytr01,2016,507500.0,1,97,0,372,67,101,21,4,27,72,8,5,35,130,2,5,2,1,5,,,,,,,,,,,,,,,,Validation
rowanaa01,2010,13600000.0,1,105,0,331,42,76,12,2,11,34,5,3,16,74,3,8,1,1,11,,,,,,,,,,,,,,,,Training
familje01,2013,491750.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,5,2,0.293,4.22,3,0,52,3,Training
wilsojo03,2006,327000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
bedarer01,2011,1000000.0,3,24,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,24,0,0,0,388,52,14,0.501,7.48,5,0,541,0,Training
cordefr01,2011,12125000.0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,37,209,19,6,0.198,2.45,4,1,274,63,Training
jimenlu02,2013,490000.0,1,34,0,104,15,27,6,0,0,5,0,2,2,28,0,3,0,1,2,,,,,,,,,,,,,,,,Training
jimenlu02,2013,490000.0,1,34,0,104,15,27,6,0,0,5,0,2,2,28,0,3,0,1,2,,,,,,,,,,,,,,,,Training
jimenlu02,2013,490000.0,1,34,0,104,15,27,6,0,0,5,0,2,2,28,0,3,0,1,2,,,,,,,,,,,,,,,,Training
hirshja01,2008,396000.0,1,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,26,8,3,0.357,8.31,0,0,46,1,Training
stroppe01,2013,502500.0,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,172,29,5,0.434,10.08,8,1,254,22,Training
stroppe01,2013,502500.0,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,172,29,5,0.434,10.08,8,1,254,22,Training
choihe01,2006,725000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
tobinma01,2011,414000.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,1,0.278,6.75,0,0,24,1,Training
suzukku01,2008,395000.0,1,148,0,530,54,148,25,1,7,42,2,3,44,69,2,11,2,1,20,,,,,,,,,,,,,,,,Training
myerswi01,2014,504200.0,1,87,0,325,37,72,14,0,6,35,6,1,34,90,3,0,0,2,10,,,,,,,,,,,,,,,,Training
myerswi01,2014,504200.0,1,87,0,325,37,72,14,0,6,35,6,1,34,90,3,0,0,2,10,,,,,,,,,,,,,,,,Training
grimmju01,2016,1275000.0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,158,24,5,0.234,4.1,7,0,225,11,Validation
sabatcc01,2016,25000000.0,1,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,12,30,0,0,0,539,78,22,0.25,3.91,2,1,768,0,Validation
stokebr01,2007,383100.0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,187,49,11,0.344,7.07,1,0,294,22,Training
hairssc01,2009,1250000.0,3,116,0,430,50,114,27,2,17,64,11,3,25,83,0,3,1,5,9,,,,,,,,,,,,,,,,Training
morrilo01,2014,1750000.0,1,99,0,336,41,88,20,0,11,38,5,2,24,59,1,3,0,2,9,,,,,,,,,,,,,,,,Training
morrilo01,2014,1750000.0,1,99,0,336,41,88,20,0,11,38,5,2,24,59,1,3,0,2,9,,,,,,,,,,,,,,,,Training
bayja01,2008,6000000.0,3,155,0,577,111,165,35,4,31,101,10,0,81,137,4,4,0,8,7,,,,,,,,,,,,,,,,Training
thamema01,2009,2275000.0,1,87,0,258,33,65,11,1,13,36,0,2,29,72,2,1,0,6,5,,,,,,,,,,,,,,,,Training
wilheto01,2014,528800.0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,238,20,6,0.171,2.27,4,0,317,18,Training
puigya01,2015,6214000.0,1,79,0,282,30,72,12,3,11,38,3,3,26,66,1,2,0,1,1,,,,,,,,,,,,,,,,Training
rossda01,2008,2525000.0,3,60,0,142,18,32,9,0,3,13,0,1,32,39,4,1,6,1,3,,,,,,,,,,,,,,,,Training
smithja05,2007,500000.0,6,69,0,141,16,28,3,2,6,18,0,0,6,53,0,1,0,1,2,,,,,,,,,,,,,,,,Training
slatedo01,2007,380000.0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,109,11,4,0.275,2.72,3,0,163,13,Training
kempma01,2011,7100000.0,1,161,0,602,115,195,33,4,39,126,40,11,74,159,24,6,0,7,16,,,,,,,,,,,,,,,,Training
pedrodu01,2011,5750000.0,1,159,0,635,102,195,37,3,21,91,26,8,86,85,6,1,2,7,12,,,,,,,,,,,,,,,,Training
wietema01,2015,8300000.0,1,75,0,258,24,69,14,1,8,25,0,0,21,67,0,0,0,3,4,,,,,,,,,,,,,,,,Training
wietema01,2015,8300000.0,1,75,0,258,24,69,14,1,8,25,0,0,21,67,0,0,0,3,4,,,,,,,,,,,,,,,,Training
rauchjo01,2012,3500000.0,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,4,173,23,7,0.209,3.59,1,0,233,22,Training
thatcjo01,2015,1000000.0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,68,8,1,0.274,3.18,0,0,100,3,Training
rupejo01,2009,416310.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,2,0.462,15.43,0,0,31,2,Training
francfr01,2012,5500000.0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,23,127,26,5,0.269,5.53,2,1,197,38,Training
kinslia01,2016,14000000.0,1,153,0,618,117,178,29,4,28,83,14,6,45,115,0,13,0,3,5,,,,,,,,,,,,,,,,Validation
barriyh01,2016,509200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validation
jimenub01,2011,2800000.0,3,32,0,35,0,4,0,0,0,3,0,0,2,18,0,0,5,0,1,10,13,32,2,1,0,565,98,17,0.512,9.559999999999999,8,0,822,0,Training
parnebo01,2011,433500.0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,6,178,24,4,0.258,3.64,8,1,268,23,Training
tuckepr01,2016,515000.0,1,48,0,134,11,22,8,1,4,8,0,0,8,40,0,2,0,0,2,,,,,,,,,,,,,,,,Validation
craigal01,2011,414000.0,1,75,0,200,33,63,15,0,11,40,5,0,15,40,0,1,1,2,7,,,,,,,,,,,,,,,,Training
ortizra01,2006,2500000.0,1,38,0,56,5,6,0,0,1,3,0,0,3,26,0,0,7,0,1,11,16,33,0,0,0,572,118,31,0.297,5.57,4,3,871,0,Training
infanom01,2016,7750000.0,1,39,0,134,16,32,9,1,0,11,0,0,9,23,0,0,2,4,0,,,,,,,,,,,,,,,,Validation
motteja01,2010,411000.0,1,56,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,2,157,13,5,0.22,2.24,1,0,208,13,Training
ruggiju01,2013,494500.0,1,128,0,424,49,94,18,1,18,50,15,8,41,114,1,5,1,0,9,,,,,,,,,,,,,,,,Training
